type,latitude,longitude,altitude
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.30
T,40.0001,-105.2614,1654.30
T,40.0001,-105.2614,1654.30
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.10
T,40.0001,-105.2614,1654.10
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.30
T,40.0001,-105.2614,1654.50
T,40.0000,-105.2614,1654.80
T,40.0000,-105.2614,1655.30
T,40.0000,-105.2614,1656.00
T,40.0000,-105.2614,1656.40
T,40.0000,-105.2614,1656.40
T,40.0000,-105.2614,1656.60
T,40.0000,-105.2614,1656.80
T,40.0000,-105.2614,1656.80
T,40.0000,-105.2614,1656.90
T,40.0000,-105.2614,1656.90
T,40.0000,-105.2614,1656.90
T,40.0000,-105.2614,1657.00
T,40.0000,-105.2614,1657.00
T,40.0000,-105.2614,1657.00
T,40.0000,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.10
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.10
T,40.0001,-105.2614,1657.10
T,40.0001,-105.2614,1657.10
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1657.00
T,40.0001,-105.2614,1656.80
T,40.0001,-105.2614,1656.70
T,40.0001,-105.2614,1656.50
T,40.0001,-105.2614,1656.40
T,40.0001,-105.2614,1656.40
T,40.0001,-105.2614,1656.40
T,40.0001,-105.2614,1656.40
T,40.0001,-105.2614,1656.40
T,40.0001,-105.2614,1656.40
T,40.0001,-105.2614,1656.40
T,40.0001,-105.2614,1656.40
T,40.0001,-105.2614,1656.40
T,40.0001,-105.2614,1656.40
T,40.0001,-105.2614,1656.40
T,40.0001,-105.2614,1656.40
T,40.0001,-105.2614,1656.40
T,40.0001,-105.2614,1656.40
T,40.0001,-105.2614,1656.40
T,40.0001,-105.2614,1656.40
T,40.0001,-105.2614,1656.40
T,40.0001,-105.2614,1656.30
T,40.0001,-105.2614,1656.30
T,40.0001,-105.2614,1656.30
T,40.0001,-105.2614,1656.30
T,40.0001,-105.2614,1656.30
T,40.0001,-105.2614,1656.30
T,40.0001,-105.2614,1656.30
T,40.0001,-105.2614,1656.30
T,40.0001,-105.2614,1656.30
T,40.0001,-105.2614,1656.30
T,40.0001,-105.2614,1656.30
T,40.0001,-105.2614,1656.30
T,40.0001,-105.2614,1656.30
T,40.0001,-105.2614,1656.30
T,40.0001,-105.2614,1656.30
T,40.0001,-105.2614,1656.30
T,40.0001,-105.2614,1656.30
T,40.0001,-105.2614,1656.30
T,40.0001,-105.2614,1656.30
T,40.0001,-105.2614,1656.30
